[0.0, 0.0, 1.0, 1.0, 0.0] - [-0.5 -0.5 -0.5 -0.5]
[0.0, 3.14159, 1.0, 1.0, 0.0] - [ 0.61803399 -1.61803399 -0.5        -0.5       ]
[2.0944, 4.18879, 1.0, 1.0, 0.0] - [ 0.36602685  0.36602396 -1.36602685 -1.36602396]
[3.14159, 0.0, 1.0, 1.0, 0.0] - [ 0.61803399 -1.61803399 -0.5        -0.5       ]
[3.14159, 3.14159, 1.0, 1.0, 0.0] - [ 0.61803399 -1.61803399 -0.5        -0.5       ]
[4.18879, 2.0944, 1.0, 1.0, 0.0] - [ 0.36602396  0.36602685 -1.36602396 -1.36602685]
[-3.14159, 3.14159, 1.0, 1.0, 0.0] - [ 0.61803399 -1.61803399 -0.5        -0.5       ]
[3.14159, -3.14159, 1.0, 1.0, 0.0] - [ 0.61803399 -1.61803399 -0.5        -0.5       ]
[0.0, 0.0, 1.0, 1.0, 1.5707958267948965] - [-5.0000025e-07 -9.9999950e-01 -5.0000025e-07 -9.9999950e-01]
[0.0, 6.28318, 1.0, 1.0, 1.5707958267948965] - [-2.26906501e-06  1.26905825e-06 -9.99997731e-01 -1.00000127e+00]
[2.0944, 4.18879, 1.0, 1.0, 1.5707958267948965] - [ 0.13600997  0.13600997 -1.13600997 -1.13600997]
[4.18879, 2.0944, 1.0, 1.0, 1.5707958267948965] - [ 0.13600997  0.13600997 -1.13600997 -1.13600997]
[6.28318, -0.0, 1.0, 1.0, 1.5707958267948965] - [ 1.26905825e-06 -1.00000127e+00 -2.26906501e-06 -9.99997731e-01]
[0.0, 0.0, 1.0, 1.0, 3.141591653589793] - [ 0.61803399 -1.61803399  0.61803399 -1.61803399]
[0.0, 3.14159, 1.0, 1.0, 3.141591653589793] - [ 0.26376262 -0.5        -0.5        -1.26376262]
[2.0944, 4.18879, 1.0, 1.0, 3.141591653589793] - [-0.5 -0.5 -0.5 -0.5]
[3.14159, 0.0, 1.0, 1.0, 3.141591653589793] - [-0.5        -0.5         0.26376262 -1.26376262]
[3.14159, 3.14159, 1.0, 1.0, 3.141591653589793] - [ 0.26376262 -0.5        -0.5        -1.26376262]
[4.18879, 2.0944, 1.0, 1.0, 3.141591653589793] - [-0.5 -0.5 -0.5 -0.5]
[-3.14159, 3.14159, 1.0, 1.0, 3.141591653589793] - [ 0.26376262 -0.5        -0.5        -1.26376262]
[3.14159, -3.14159, 1.0, 1.0, 3.141591653589793] - [ 0.26376262 -0.5        -0.5        -1.26376262]
